ID,value,layer,type,soil_var,res,site_code,sp_code,elev_code
4,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
9,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,-0.11913000047206879,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Subsuperficial,250,PIHAL_RAGUA_H,halepensis,high
1,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PINIG_LANTEIRA_M,nigra,medium
3,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PINIG_LANTEIRA_L2,nigra,low
4,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PINIG_LANTEIRA_H,nigra,high
5,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIPIN_JEREZ_L,pinaster,low
7,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIPIN_JEREZ_M,pinaster,medium
8,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIPIN_JEREZ_H,pinaster,high
9,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,-0.7505499720573425,l_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Parámetro de Tortuosidad Superficial,250,PIHAL_RAGUA_H,halepensis,high
1,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
4,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
9,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.04981956630945206,resi_ok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Subsuperficial,250,PIHAL_RAGUA_H,halepensis,high
1,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PINIG_LANTEIRA_M,nigra,medium
3,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PINIG_LANTEIRA_L2,nigra,low
4,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PINIG_LANTEIRA_H,nigra,high
5,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIPIN_JEREZ_L,pinaster,low
7,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIPIN_JEREZ_M,pinaster,medium
8,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIPIN_JEREZ_H,pinaster,high
9,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.038546252995729446,residualok,Parámetros de retención de van Genuchten,Contenido de Agua Residual Superficial,250,PIHAL_RAGUA_H,halepensis,high
1,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
4,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
9,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.4014645218849182,sat_ok,Parámetros de retención de van Genuchten,Contenido de Agua Saturación Subsuperficial,250,PIHAL_RAGUA_H,halepensis,high
