site_code,sp_elev,Specie,elev_code,sp_code,season,mean_tau,sd_tau,mean_pvalue_mk,sd_pvalue_mk,mean_senslope,sd_senslope,mean_pvalue_sen,sd_pvalue_sen,ypos,p_value_string,taulabel
PIPIN_LANTEIRA_L2,pinaster_low-Dec,P. pinaster,low-Dec,pinaster,yearly,-0.011857707984745502,-0.1936759054660797,0.957874596118927,0.20490440726280212,-3.815217391304101e-5,-2.8453026387914896e-4,0.9578745987779059,0.20490442371975073,0.4,,"tau == ""-0.01"""
PISYL_PORTUGOS_H,sylvestris_high,P. sylvestris,high,sylvestris,autumn,0.06719367951154709,0.03557312488555908,0.6726109981536865,0.8326659202575684,0.0010033333333333376,1.1069734276929816e-4,0.6726109872286649,0.8326659395181515,0.49,,"tau == ""0.07"""
PISYL_PORTUGOS_H,sylvestris_high,P. sylvestris,high,sylvestris,spring,0.15415020287036896,-0.0988142341375351,0.31557273864746094,0.5261780619621277,0.001945833333333341,-5.587551208763725e-4,0.3155727359639028,0.5261780967197714,0.49,,"tau == ""0.15"""
PISYL_PORTUGOS_H,sylvestris_high,P. sylvestris,high,sylvestris,summer,0.21739131212234497,0.03557312488555908,0.15382075309753418,0.8326659202575684,0.0012537037037037013,1.455778768315201e-4,0.15382082239203035,0.8326659395181515,0.49,,"tau == ""0.22"""
PISYL_PORTUGOS_H,sylvestris_high,P. sylvestris,high,sylvestris,winter,0.38339921832084656,-0.20158104598522186,0.011231780052185059,0.18666048347949982,0.005110000000000003,-0.0016373910863040203,0.011231776901026875,0.18666052241558184,0.49,*,"tau == ""0.38*"""
PISYL_PORTUGOS_H,sylvestris_high,P. sylvestris,high,sylvestris,yearly,0.3754940927028656,-0.23320159316062927,0.013043403625488281,0.1255701631307602,0.002669565217391312,-0.0010802709326010092,0.013043371395279339,0.12557019892294263,0.49,*,"tau == ""0.38*"""
PISYL_PORTUGOS_L,sylvestris_low,P. sylvestris,low,sylvestris,autumn,-0.003952569328248501,-0.30434784293174744,1,0.044728927314281464,-1.0909090909091725e-5,-5.101846822706882e-4,1,0.044728937313652184,0.43,,"tau == ""0"""
PISYL_PORTUGOS_L,sylvestris_low,P. sylvestris,low,sylvestris,spring,-0.011857707984745502,-0.06719367951154709,0.957874596118927,0.6726109385490417,-4.166666666666763e-5,-2.80009557970971e-4,0.9578745987779059,0.6726109872286649,0.43,,"tau == ""-0.01"""
PISYL_PORTUGOS_L,sylvestris_low,P. sylvestris,low,sylvestris,summer,-0.0988142341375351,0.10671937465667725,0.5261780619621277,0.49228954315185547,-3.803030303030338e-4,2.934236046347153e-4,0.5261780967197714,0.4922895298178108,0.43,,"tau == ""-0.1"""
PISYL_PORTUGOS_L,sylvestris_low,P. sylvestris,low,sylvestris,winter,-0.0988142341375351,0.06719367951154709,0.5261780619621277,0.6726109981536865,-9.16666666666667e-4,1.2204270051365419e-4,0.5261780967197714,0.6726109872286649,0.43,,"tau == ""-0.1"""
PISYL_PORTUGOS_L,sylvestris_low,P. sylvestris,low,sylvestris,yearly,-0.08300396054983139,-0.09090909361839294,0.5973541736602783,0.5612201690673828,-4.4710144927536294e-4,-1.7441732120595672e-4,0.5973541948267042,0.5612202073936174,0.43,,"tau == ""-0.08"""
PISYL_PORTUGOS_M,sylvestris_medium,P. sylvestris,medium,sylvestris,autumn,0.2648221552371979,-0.23320159316062927,0.081317901611328125,0.1255701631307602,0.0012199999999999989,-6.948887695005802e-4,0.08131787390348359,0.12557019892294263,0.46,,"tau == ""0.26"""
PISYL_PORTUGOS_M,sylvestris_medium,P. sylvestris,medium,sylvestris,spring,0.2806324362754822,0.20948617160320282,0.06449651718139648,0.1696455478668213,0.001464444444444446,0.0010137974649022728,0.06449652825042429,0.16964551331109712,0.46,,"tau == ""0.28"""
PISYL_PORTUGOS_M,sylvestris_medium,P. sylvestris,medium,sylvestris,summer,0.1936759054660797,-0.01976284757256508,0.2049044370651245,0.9158665537834167,0.001133333333333327,-1.0308032877100441e-4,0.20490442371975073,0.9158665384265181,0.46,,"tau == ""0.19"""
PISYL_PORTUGOS_M,sylvestris_medium,P. sylvestris,medium,sylvestris,winter,0.09090909361839294,-0.003952569328248501,0.5612201690673828,1,2.535714285714284e-4,-1.3718826707138747e-5,0.5612202073936174,1,0.46,,"tau == ""0.09"""
PISYL_PORTUGOS_M,sylvestris_medium,P. sylvestris,medium,sylvestris,yearly,0.3122529685497284,0.011857707984745502,0.03939700126647949,0.9578745365142822,0.0011067391304347834,5.0214094871380667e-5,0.0393970496843573,0.9578745987779059,0.46,*,"tau == ""0.31*"""
