"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"46",2004,12891.1174193034,8501.43003168109,3250.74905327563,904904.334535836,601542.80566824,241673.301397355,50.5653018310631,33.3467892320887,12.751036369414,3549.47979416623,2359.5466974315,947.961532905428
"47",2005,3188.85954314617,2102.70651054777,803.39711545858,908093.194078982,603645.512178788,242476.698512814,12.5082752760129,8.24784895751378,3.15131856393902,3561.98806944224,2367.79454638901,951.112851469367
"48",2006,8138.20334759694,5368.36008692181,2056.0336493732,916231.397426579,609013.87226571,244532.732162187,31.9220355574143,21.0573481959411,8.06477504422542,3593.91010499965,2388.85189458496,959.177626513592
"49",2007,6786.20760963437,4475.67229018315,1712.16338894524,918193.67093994,610242.89637329,244839.666252726,26.6188434181496,17.5557876705978,6.71594678181047,3601.60710668313,2393.67273151755,960.381572954039
"50",2008,3657.25478805488,2411.57321793762,921.43597314771,921850.925727995,612654.469591227,245761.102225874,14.3455517637421,9.4593760716294,3.61432501037066,3615.95265844687,2403.13210758918,963.99589796441
"51",2009,15531.9873732712,10241.35472538,3912.2439674976,937382.913101266,622895.824316607,249673.346193371,60.9240924599503,40.171629502992,15.3457447185336,3676.87675090682,2443.30373709217,979.341642682943
"52",2010,26834.9037737533,17686.1613220796,6737.54714455711,959393.882778746,637335.337456083,255005.664039522,105.259688884339,69.3738220198566,26.4279731449344,3763.21459805648,2499.94260837403,1000.25761548651
"53",2011,27372.5783715865,18034.9265816522,6857.56795667544,978873.173879592,650076.681647483,259620.696323847,107.368713062928,70.7418508760725,26.8987537912797,3839.62195685491,2549.92042595304,1018.36004158555
"54",2012,4063.85653779933,2678.80331392125,1021.49567606882,982937.030417391,652755.484961404,260642.191999916,15.94044377598,10.5075839206652,4.00680837040554,3855.56240063089,2560.42800987371,1022.36684995596
"55",2013,9308.71415648344,6135.0598559693,2337.08971804608,992245.744573875,658890.544817374,262979.281717962,36.5133545581426,24.0647217210352,9.16721515718377,3892.07575518903,2584.49273159474,1031.53406511314
"56",2014,4488.46661304638,2958.05602025779,1126.53474289866,948832.395884345,629985.839642201,251259.590572022,17.6059732965805,11.6029503597222,4.41882324433346,3721.78725275897,2471.11426377225,985.563673184674
"57",2015,8752.86715019649,5769.25953131456,2198.98861919531,957585.263034541,635755.099173515,253458.579191217,34.3330492571681,22.6298729624341,8.62551473514478,3756.12030201614,2493.74413673468,994.189187919819
"58",2016,3763.88988968791,2480.32814392298,944.079596459614,924786.354913778,613877.868660766,244490.146223647,14.7638270710314,9.72906670214185,3.70314443618714,3627.46685523485,2407.93088035642,959.010583520653
"59",2017,10190.8407245086,6713.60225971179,2550.87673664431,912677.286066488,605747.761869276,241031.078295101,39.9734887509007,26.3340495314779,10.0057929756431,3579.96913248201,2376.04060347361,945.442418079917
