system:index,EVI,NDVI,date,label,.geo
1_1_LT05_199034_19870525_0,0.1791570190786509,0.272498116706264,19870525,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870525_1,,,19870525,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870525_2,,,19870525,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870525_3,,,19870525,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870525_4,,,19870525,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870525_5,,,19870525,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870525_6,,,19870525,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870525_7,,,19870525,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870525_8,,,19870525,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870525_9,,,19870525,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870525_10,,,19870525,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870525_11,0.13525457871693147,0.21954289700774982,19870525,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870525_12,,,19870525,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870626_0,0.17375163557800558,0.27592215665314607,19870626,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870626_1,,,19870626,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870626_2,,,19870626,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870626_3,,,19870626,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870626_4,,,19870626,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870626_5,,,19870626,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870626_6,,,19870626,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870626_7,,,19870626,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870626_8,,,19870626,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870626_9,,,19870626,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870626_10,,,19870626,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870626_11,0.11899299806499239,0.18834048538255102,19870626,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870626_12,,,19870626,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870813_0,0.14463888917333123,0.21957871976597118,19870813,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870813_1,,,19870813,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870813_2,,,19870813,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870813_3,,,19870813,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870813_4,,,19870813,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870813_5,,,19870813,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870813_6,,,19870813,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870813_7,,,19870813,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870813_8,,,19870813,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870813_9,,,19870813,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870813_10,,,19870813,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870813_11,,,19870813,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870813_12,,,19870813,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870914_0,0.16415242877508024,0.2953521151269423,19870914,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870914_1,,,19870914,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870914_2,,,19870914,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870914_3,,,19870914,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870914_4,,,19870914,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870914_5,,,19870914,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870914_6,,,19870914,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870914_7,,,19870914,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870914_8,,,19870914,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19870914_9,,,19870914,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19870914_10,,,19870914,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19870914_11,0.1465742286130013,0.2468791979292947,19870914,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19870914_12,,,19870914,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19870930_0,0.20049040008098348,0.3510397364628372,19870930,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19870930_1,,,19870930,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19870930_2,,,19870930,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19870930_3,,,19870930,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19870930_4,,,19870930,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19870930_5,,,19870930,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19870930_6,,,19870930,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19870930_7,,,19870930,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19870930_8,,,19870930,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
