year,RW,tree,core,sp_elev,sampleid
1974,2.93,29,B,sylvestris_med,PM29B
1974,3.22,31,A,sylvestris_med,PM31A
1974,2.15,31,B,sylvestris_med,PM31B
1974,5.6,32,A,sylvestris_med,PM32A
1974,5.18,32,B,sylvestris_med,PM32B
1974,1.67,33,A,sylvestris_med,PM33A
1974,1.72,33,C,sylvestris_med,PM33C
1974,3.34,34,01,sylvestris_med,PM3401
1974,5.15,35,01,sylvestris_med,PM3501
1974,5.97,35,02,sylvestris_med,PM3502
1974,1.12,36,A,sylvestris_med,PM36A
1974,1.88,36,B,sylvestris_med,PM36B
1974,3.8,37,A,sylvestris_med,PM37A
1974,3.51,37,B,sylvestris_med,PM37B
1974,3.98,38,01,sylvestris_med,PM3801
1974,3.28,39,A,sylvestris_med,PM39A
1974,1.71,39,B,sylvestris_med,PM39B
1974,3.51,40,02,sylvestris_med,PM4002
1974,3.65,41,01,sylvestris_med,PM4101
1974,4.42,41,02,sylvestris_med,PM4102
1974,6.79,42,A,sylvestris_med,PM42A
1974,6.18,42,B,sylvestris_med,PM42B
1974,5.25,43,02,sylvestris_med,PM4302
1975,6.92,1,01,sylvestris_med,PM0101
1975,4.06,1,02,sylvestris_med,PM0102
1975,2.1,2,A,sylvestris_med,PM02A
1975,3.16,2,B,sylvestris_med,PM02B
1975,2.32,2,C,sylvestris_med,PM02C
1975,1.56,3,A,sylvestris_med,PM03A
1975,1.53,3,B,sylvestris_med,PM03B
1975,2.25,5,A,sylvestris_med,PM05A
1975,2.92,5,B,sylvestris_med,PM05B
1975,2.19,6,01,sylvestris_med,PM0601
1975,4.01,7,A,sylvestris_med,PM07A
1975,4.04,7,B,sylvestris_med,PM07B
1975,5.19,8,01,sylvestris_med,PM0801
1975,4.8,8,02,sylvestris_med,PM0802
1975,1.7,9,C,sylvestris_med,PM09C
1975,1.64,9,E,sylvestris_med,PM09E
1975,2.45,10,A,sylvestris_med,PM10A
1975,2.54,10,C,sylvestris_med,PM10C
1975,4.06,11,A,sylvestris_med,PM11A
1975,3.89,11,C,sylvestris_med,PM11C
1975,3.18,12,A,sylvestris_med,PM12A
1975,4.42,12,C,sylvestris_med,PM12C
1975,2.64,13,A,sylvestris_med,PM13A
1975,2.73,13,B,sylvestris_med,PM13B
1975,5.44,14,01,sylvestris_med,PM1401
1975,5.44,14,02,sylvestris_med,PM1402
1975,2.2,15,A,sylvestris_med,PM15A
1975,3.05,15,B,sylvestris_med,PM15B
1975,2.36,15,C,sylvestris_med,PM15C
1975,2.94,16,01,sylvestris_med,PM1601
1975,2.95,16,02,sylvestris_med,PM1602
1975,3.05,17,A,sylvestris_med,PM17A
1975,3.02,17,B,sylvestris_med,PM17B
1975,2.66,19,A,sylvestris_med,PM19A
1975,2.81,19,B,sylvestris_med,PM19B
1975,1.97,20,A,sylvestris_med,PM20A
1975,1.64,20,B,sylvestris_med,PM20B
1975,4.37,21,01,sylvestris_med,PM2101
1975,4.02,21,02,sylvestris_med,PM2102
1975,5.86,22,01,sylvestris_med,PM2201
1975,1.96,23,B,sylvestris_med,PM23B
1975,3.36,23,C,sylvestris_med,PM23C
1975,3.52,24,01,sylvestris_med,PM2401
1975,4.35,24,02b,sylvestris_med,PM2402b
1975,1.16,25,A,sylvestris_med,PM25A
1975,1.11,25,B,sylvestris_med,PM25B
1975,4.21,26,A,sylvestris_med,PM26A
1975,2.49,26,B,sylvestris_med,PM26B
1975,2.77,27,A,sylvestris_med,PM27A
1975,2.54,27,B,sylvestris_med,PM27B
1975,3.68,28,A,sylvestris_med,PM28A
1975,3.8,28,B,sylvestris_med,PM28B
1975,3.13,29,A,sylvestris_med,PM29A
1975,3.13,29,B,sylvestris_med,PM29B
1975,2.94,31,A,sylvestris_med,PM31A
1975,2.66,31,B,sylvestris_med,PM31B
1975,3.59,32,A,sylvestris_med,PM32A
