Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
102000	1.374692	-233.6447	
103000	1.374692	-233.6447	
104000	1.340325	-233.6447	
105000	1.340325	-233.6447	
106000	1.306817	-233.6447	
107000	1.306817	-233.6447	
108000	1.274146	-233.6447	
109000	1.274146	-233.6447	
110000	1.242293	-233.6447	
111000	1.242293	-233.6447	
112000	1.211235	-233.6447	
113000	1.211235	-233.6447	
114000	1.180954	-233.6447	
115000	1.180954	-233.6447	
116000	1.15143	-233.6447	
117000	1.15143	-233.6447	
118000	1.122645	-233.6447	
119000	1.122645	-233.6447	
120000	1.094579	-233.6447	
121000	1.094579	-233.6447	
122000	1.067214	-233.6447	
123000	1.067214	-233.6447	
124000	1.040534	-233.6447	
125000	1.040534	-233.6447	
126000	1.01452	-233.6447	
127000	1.01452	-233.6447	
128000	0.9891574	-233.6447	
129000	0.9891574	-233.6447	
130000	0.9644285	-233.6447	
131000	0.9644285	-233.6447	
132000	0.9403178	-233.6447	
133000	0.9403178	-233.6447	
134000	0.9168098	-233.6447	
135000	0.9168098	-233.6447	
136000	0.8938896	-233.6447	
137000	0.8938896	-233.6447	
138000	0.8715423	-233.6447	
139000	0.8715423	-233.6447	
140000	0.8497538	-233.6447	
141000	0.8497538	-233.6447	
142000	0.8285099	-233.6447	
143000	0.8285099	-233.6447	
144000	0.8077972	-233.6447	
145000	0.8077972	-233.6447	
146000	0.7876023	-233.6447	
147000	0.7876023	-233.6447	
148000	0.7679122	-233.6447	
149000	0.7679122	-233.6447	
150000	0.7487144	-233.6447	
151000	0.7487144	-233.6447	
152000	0.7299965	-233.6447	
153000	0.7299965	-233.6447	
154000	0.7117466	-233.6447	
155000	0.7117466	-233.6447	
156000	0.693953	-233.6447	
157000	0.693953	-233.6447	
158000	0.6766041	-233.6447	
159000	0.6766041	-233.6447	
160000	0.659689	-233.6447	
161000	0.659689	-233.6447	
162000	0.6431968	-233.6447	
163000	0.6431968	-233.6447	
164000	0.6271169	-233.6447	
165000	0.6271169	-233.6447	
166000	0.611439	-233.6447	
167000	0.611439	-233.6447	
168000	0.596153	-233.6447	
169000	0.596153	-233.6447	
170000	0.5812492	-233.6447	
171000	0.5812492	-233.6447	
172000	0.5667179	-233.6447	
173000	0.5667179	-233.6447	
174000	0.55255	-233.6447	
175000	0.55255	-233.6447	
176000	0.5387362	-233.6447	
177000	0.5387362	-233.6447	
178000	0.5252678	-233.6447	
179000	0.5252678	-233.6447	
180000	0.5121361	-233.6447	
180316.3	0.5121361	-233.6425	
181000	0.5121361	-233.6425	
182000	0.4993327	-233.6425	
183000	0.4993327	-233.6425	
184000	0.4868494	-233.6425	
185000	0.4868494	-233.6425	
186000	0.4746782	-233.6425	
187000	0.4746782	-233.6425	
188000	0.4628112	-233.6425	
189000	0.4628112	-233.6425	
190000	0.4512409	-233.6425	
191000	0.4512409	-233.6425	
192000	0.4399599	-233.6425	
193000	0.4399599	-233.6425	
194000	0.4289609	-233.6425	
195000	0.4289609	-233.6425	
196000	0.4182369	-233.6425	
197000	0.4182369	-233.6425	
198000	0.407781	-233.6425	
199000	0.407781	-233.6425	
2e+05	0.3975864	-233.6425	
201000	0.3975864	-233.6425	
202000	0.3876468	-233.6425	
203000	0.3876468	-233.6425	
204000	0.3779556	-233.6425	
205000	0.3779556	-233.6425	
206000	0.3685067	-233.6425	
207000	0.3685067	-233.6425	
208000	0.3592941	-233.6425	
209000	0.3592941	-233.6425	
210000	0.3503117	-233.6425	
211000	0.3503117	-233.6425	
212000	0.3415539	-233.6425	
213000	0.3415539	-233.6425	
