Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7322	4	475.6257	475.4644	0.9974038	0.4611436	
Model:	mtrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5582118	0.1953741	0.9231953	0.6027942	0	1.2	1.2	
b	0.1977159	0	0.2	0.3167616	0	0.2	0.2	
k	-1.699626	-2.5	-0.254345	3.271189	-2.5	2	2.4	
t0	9.920275	0	11.12984	2.012828	0	20	17.6	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0
MR	0.3633609	-0.1561378	1.229083	-1.0702	
b	-0.1561378	0.1003379	-0.795169	0.411755	
k	1.229083	-0.795169	10.70068	-4.241304	
t0	-1.0702	0.411755	-4.241304	4.051478	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2008	nigra	low	nigra_low	0.0596355	297.7	10.91769	P. nigra	0.1798231	
2009	nigra	low	nigra_low	0.1932361	458.8	12.02929	P. nigra	0.1224593	
2010	nigra	low	nigra_low	0.2550653	572.6	11.21354	P. nigra	0.1551178	
2011	nigra	low	nigra_low	0.237985	302.1	11.43551	P. nigra	0.1420493	
2012	nigra	low	nigra_low	0.07283805	288.3	11.72606	P. nigra	0.1302504	
2013	nigra	low	nigra_low	0.1092085	335.8	10.77581	P. nigra	0.1951766	
2014	nigra	low	nigra_low	0.06899374	270.5	11.70423	P. nigra	0.1309674	
2015	nigra	low	nigra_low	0.09069465	228.8	12.07968	P. nigra	0.1214914	
2016	nigra	low	nigra_low	0.04204381	323.4	11.67049	P. nigra	0.1321242	
2017	nigra	low	nigra_low	0.1004605	201.1	12.4234	P. nigra	0.1166385	
2018	nigra	low	nigra_low	0.0970911	452.6	10.83334	P. nigra	0.1886574	
2019	nigra	low	nigra_low	0.06027039	256.5	11.95002	P. nigra	0.1241496	
2020	nigra	low	nigra_low	0.1406959	322.7	12.1936	P. nigra	0.1195735	
2021	nigra	low	nigra_low	0.1143764	203.9	12.11509	P. nigra	0.1208569	
2001	nigra	medium	nigra_medium	0.07969127	358.8	11.77294	P. nigra	0.1287905	
2002	nigra	medium	nigra_medium	0.0690587	335.6	11.61888	P. nigra	0.1340138	
2003	nigra	medium	nigra_medium	0.09859162	351.5	11.17159	P. nigra	0.158073	
2004	nigra	medium	nigra_medium	0.06142529	346.2	11.03588	P. nigra	0.1688332	
2005	nigra	medium	nigra_medium	0.01988913	144.3	11.13217	P. nigra	0.1610048	
2006	nigra	medium	nigra_medium	0.0460038	355.8	11.23782	P. nigra	0.153483	
2007	nigra	medium	nigra_medium	0.03301357	320.7	10.76736	P. nigra	0.1961683	
2008	nigra	medium	nigra_medium	0.02011435	299.2	10.55713	P. nigra	0.2236945	
2009	nigra	medium	nigra_medium	0.09045893	459.5	11.71132	P. nigra	0.1307319	
2010	nigra	medium	nigra_medium	0.1403275	584.4	10.87116	P. nigra	0.1845914	
2011	nigra	medium	nigra_medium	0.1341438	311.1	11.06629	P. nigra	0.1662555	
2012	nigra	medium	nigra_medium	0.02887239	293.3	11.36616	P. nigra	0.1456996	
2013	nigra	medium	nigra_medium	0.04479617	332.7	10.40011	P. nigra	0.2477261	
2014	nigra	medium	nigra_medium	0.02434118	276.5	11.3142	P. nigra	0.1486832	
2015	nigra	medium	nigra_medium	0.05118988	233.4	11.72756	P. nigra	0.130202	
2016	nigra	medium	nigra_medium	0.02165737	330.6	11.268	P. nigra	0.1515252	
2017	nigra	medium	nigra_medium	0.06356096	202	12.07103	P. nigra	0.121652	
2001	nigra	high	nigra_high	0.3170893	360.9	11.36243	P. nigra	0.1459069	
2002	nigra	high	nigra_high	0.2377955	337.3	11.21471	P. nigra	0.1550376	
2003	nigra	high	nigra_high	0.3464311	358	10.70226	P. nigra	0.2041062	
2004	nigra	high	nigra_high	0.2816574	361.3	10.55819	P. nigra	0.2235418	
2005	nigra	high	nigra_high	0.09565752	148.7	10.65748	P. nigra	0.2098724	
2006	nigra	high	nigra_high	0.1990407	358.1	10.74932	P. nigra	0.1983157	
2007	nigra	high	nigra_high	0.1211196	322	10.27977	P. nigra	0.2679329	
2008	nigra	high	nigra_high	0.1466144	306.6	10.04482	P. nigra	0.3106775	
2009	nigra	high	nigra_high	0.2626483	479.1	11.26267	P. nigra	0.1518652	
2010	nigra	high	nigra_high	0.3644781	622.5	10.39393	P. nigra	0.2487286	
2011	nigra	high	nigra_high	0.283016	331.7	10.56176	P. nigra	0.2230285	
2012	nigra	high	nigra_high	0.1164069	303.2	10.91	P. nigra	0.1805932	
2013	nigra	high	nigra_high	0.2163242	331.8	9.910485	P. nigra	0.3361524	
2014	nigra	high	nigra_high	0.1126222	289.8	10.81058	P. nigra	0.1911882	
2015	nigra	high	nigra_high	0.2184333	243.3	11.25379	P. nigra	0.1524367	
2016	nigra	high	nigra_high	0.1012387	347.1	10.75417	P. nigra	0.1977345	
2017	nigra	high	nigra_high	0.1816787	204.2	11.60485	P. nigra	0.1345534	
2018	nigra	high	nigra_high	0.1813105	458.2	9.91548	P. nigra	0.335202	
2019	nigra	high	nigra_high	0.1076421	255.8	11.08597	P. nigra	0.1646397	
2020	nigra	high	nigra_high	0.2435312	319.6	11.4141	P. nigra	0.1431371	
2001	sylvestris	low	sylvestris_low	0.1752625	557	11.99493	P. sylvestris	0.1231656	
2002	sylvestris	low	sylvestris_low	0.121445	632.8	11.90282	P. sylvestris	0.1252625	
