Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.772	5	477.787	477.544	0.9992032	0.4438469	
Model:	mcombrat1
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9989342	0.3396376	1	5.974334	0	1	0.1784971	
OTmed	5	5	5.9	17.88067	5	20	12	
Tb	0.4737757	0.3439185	0.6052478	1.13003	0.01	5	4.99	
Popt	906.9227	300	1000	3731.501	300	1000	700	
Pb	1.341546	0.4292949	5	4.661097	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	35.69267	-104.6436	6.159699	-3616.85	-2.027249	
OTmed	-104.6436	319.7183	-19.65852	12444.07	9.288544	
Tb	6.159699	-19.65852	1.276969	-593.6363	-0.6192679	
Popt	-3616.85	12444.07	-593.6363	13924100	15938.32	
Pb	-2.027249	9.288544	-0.6192679	15938.32	21.72582	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2016	pinaster	medium	pinaster_medium	0.06625869	382.1	11.93446	P. pinaster	0.1503747	
2017	pinaster	medium	pinaster_medium	0.09849051	207.7	12.7014	P. pinaster	0.0788136	
2001	pinaster	high	pinaster_high	0.5828131	368.2	11.36156	P. pinaster	0.1777241	
2002	pinaster	high	pinaster_high	0.3738774	349.9	11.2134	P. pinaster	0.1815608	
2003	pinaster	high	pinaster_high	0.5811849	390.2	10.68792	P. pinaster	0.2266812	
2004	pinaster	high	pinaster_high	0.5059657	373.1	10.54402	P. pinaster	0.2321661	
2005	pinaster	high	pinaster_high	0.07626182	163	10.63039	P. pinaster	0.1240887	
2006	pinaster	high	pinaster_high	0.2310098	373.2	10.73044	P. pinaster	0.2189071	
2007	pinaster	high	pinaster_high	0.1078383	333.4	10.28368	P. pinaster	0.23749	
2008	pinaster	high	pinaster_high	0.1626592	376.8	9.905245	P. pinaster	0.2846698	
2009	pinaster	high	pinaster_high	0.29091	612.7	11.18799	P. pinaster	0.2256567	
2010	pinaster	high	pinaster_high	0.4185128	799.9	10.32817	P. pinaster	0.3079842	
2011	pinaster	high	pinaster_high	0.478777	353.3	10.55143	P. pinaster	0.2252881	
2012	pinaster	high	pinaster_high	0.2128957	371.2	10.89882	P. pinaster	0.2069501	
2013	pinaster	high	pinaster_high	0.4040281	454	9.824873	P. pinaster	0.3164944	
